"outcome","month","MMWR week","Age group","Vaccine product","Vaccinated with outcome","Fully vaccinated population","Unvaccinated with outcome","Unvaccinated population","Crude vax IR","Crude unvax IR","Crude IRR","Age adjusted vax IR","Age adjusted unvax IR","Age adjusted IRR","Continuity correction"
"case","APR 2021","202114","12-17","all_types","8","36,887","30,785","17,556,462","21.687857511","175.348541181","8.085102048",,,,"0"
"case","APR 2021","202114","18-29","all_types","674","2,543,093","76,736","31,091,322","26.503159735","246.808418117","9.312414844",,,,"0"
"case","APR 2021","202114","30-49","all_types","1,847","7,428,405","98,436","41,074,337","24.864018588","239.653290082","9.638558193",,,,"0"
"case","APR 2021","202114","50-64","all_types","1,558","7,487,444","50,324","22,948,569","20.808168983","219.290361852","10.538666907",,,,"0"
"case","APR 2021","202114","65-79","all_types","1,672","14,398,099","14,880","7,675,907","11.612644141","193.853312709","16.693296578",,,,"0"
"case","APR 2021","202114","80+","all_types","805","4,962,963","3,757","2,524,581","16.220149133","148.816773952","9.174809229",,,,"0"
"case","APR 2021","202114","all_ages_adj","all_types","6,564","36,856,891","274,918","122,871,178","17.809424023","223.744904602","12.56328696","22.280323501","221.871291923","9.958171923","0"
"case","APR 2021","202114","all_ages_adj","Janssen","1,156","2,256,251","274,918","122,871,178","51.235434355","223.744904602","4.36699537","58.238599105","221.871291923","3.809694864","0"
"case","APR 2021","202114","all_ages_adj","Moderna","1,801","16,202,440","274,918","122,871,178","11.115609748","223.744904602","20.128891683","23.932620309","221.871291923","9.270664434","0"
"case","APR 2021","202114","all_ages_adj","Pfizer","3,580","18,346,519","274,918","122,871,178","19.513238451","223.744904602","11.46631325","22.490518145","221.871291923","9.865103618","0"
"case","APR 2021","202115","12-17","all_types","5","54,519","30,598","17,294,946","9.171114657","176.918736838","19.290865227",,,,"0"
"case","APR 2021","202115","18-29","all_types","745","3,160,878","70,484","29,190,542","23.569400654","241.461772104","10.244714138",,,,"0"
