Country,Mineral
U.A.E.,Aluminum
Russia,Aluminum
China,Aluminum
Morocco,Arsenic
Belgium,Arsenic
India,Barite
Morocco,Barite
Mexico,Barite
South Korea,Bismuth
Mexico,Bismuth
Belgium,Bismuth
China,Cesium
Kazakhstan,Chromium
Russia,Chromium
Mexico,Chromium
Canada,Cobalt
Japan,Cobalt
Finland,Cobalt
Vietnam,Fluorspar
South Africa,Fluorspar
Canada,Fluorspar
United Kingdom,Gallium
Germany,Gallium
Ukraine,Gallium
Belgium,Germanium
Germany,Germanium
Russia,Germanium
Mexico,Graphite
Canada,Graphite
India,Graphite
Canada,Indium
South Korea,Indium
France,Indium
Canada,Iridium
Chile,Lithium
China,Lithium
Russia,Lithium
Germany,Ytterbium
South Korea,Ytterbium
Japan,Yttrium
Peru,Zinc
Senegal,Zirconium
Russia,Zirconium
Germany,Lutetium
South Korea,Lutetium
Israel,Magnesium
Mexico,Magnesium
South Africa,Manganese
Australia,Manganese
Georgia,Manganese
Norway,Nickel
Finland,Nickel
Australia,Nickel
Canada,Niobium
South Africa,Palladium
Germany,Palladium
Germany,Platinum
Switzerland,Platinum
Italy,Platinum
United States,Samarium
China,Scandium
Japan,Scandium
Russia,Scandium
Germany,Tantalum
Australia,Tantalum
Indonesia,Tantalum
Germany,Tellurium
China,Tellurium
Philippines,Tellurium
Peru,Tin
Malaysia,Tin
Bolivia,Tin
Kazakhstan,Titanium
Ukraine,Titanium
Bolivia,Tungsten
Germany,Tungsten
Canada,Tungsten
China,Vanadium
Brazil,Vanadium
South Africa,Vanadium
Chile,Ytterbium
South Korea,Yttrium
Mexico,Zinc
Spain,Zinc
Australia,Zirconium
