Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Eversharp Recycling Inc,10A Morris Ave,,Glen Cove,NY,11542,Nassau,1,5169030406,Barbara Piliero,Private,C&D processing - registration,[30W47R],Yes,614932,4524181,,Tree Debris;Concrete;Soil (Clean),30W47R,06/28/2010,,"10A Morris Ave
Glen Cove, NY 11542
(40.86011, -73.63625)"
Kept Companies; Inc.,42 Cherry Ln,,Floral Park,NY,11001,Nassau,1,5167790108,,,Transfer facility - permit,[30XP0108],Yes,610197,4509811,,,1-2822-01754/00001,10/22/2025,10/21/2035,"42 Cherry Ln
Floral Park, NY 11001
(40.73216, -73.69503)"
Rock Crush Recycling,478 Grand Blvd,,Westbury,NY,11590,Nassau,1,5163347625,Christopher Stasi,Private,CDDHRF - permit,[30CP0180],Yes,620845,4512544,,Concrete;Asphalt;Brick;Soil (Clean),30W48R,,,"478 Grand Blvd
Westbury, NY 11590
(40.75618, -73.5705)"
USDHS - PIADC Building 111 Effluent Decon,P O Box 848,,Greenport,NY,11944,Suffolk,1,,,,RMW - permit,[52JP0230],Yes,735302,4561644,4.3 - Utilization of Digital Orthophoto Quads,,52JP0230,01/13/2023,10/24/2032,
Luciano Auto Wreckers,275 Halleck Street,,Bronx,NY,10474,Bronx,2,7183282832,Jose Guillen,Private,VDF - registration,[03V50123],Yes,594480,4517942,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles VDFs,03V50013,03/25/2025,03/24/2030,"275 Halleck Street
Bronx, NY 10474
(40.80659, -73.87964)"
GPB WASTE NY dba NY/NJ Recycling (formerly Rapid Processing),58-35 47th Street,,Maspeth,NY,11378,Queens,2,7183490500,GPB Waste NY LLC,Private,RHRF - registration,[41M13],Yes,591077,4507948,,Commingled Paper;Paper / Cardboard,41M13,,,"58-35 47th Street
Maspeth, NY 11378
(40.71793, -73.92208)"
Any Tire Inc,2246 Forest Ave,,Staten Island,NY,10303,Richmond,2,9173735217,Olimzhon Abdurakhmonov,,WTHRF - collection and storage - registration,[43W10071],Yes,570639,4497631,4.2 - Utilization of GIS and existing spatial data,Tire,43W10071,06/13/2024,06/13/2029,"2246 Forest Ave
Staten Island, NY 10303
(40.62684, -74.16488)"
AW Scrap Processors Inc,1980 Route 9D,,Wappingers Falls,NY,12590,Dutchess,3,8458311759,Albert Weinert,Private,Vehicle Dismantling Facility,[14J03],Yes,588156,4601098,,,,,,"1980 Route 9D
Wappingers Falls, NY 12590
(41.55652, -73.94312)"
New Paltz TS (T),3 Clearwater Road,,New Paltz,NY,12561,Ulster,3,8452558456,Town of New Paltz,,Composting - SSO - registration,[56P20002],Yes,577437,4627022,,Food Scraps;Yard Trimmings,56P20002,01/14/2025,12/21/2025,"3 Clearwater Road
New Paltz, NY 12561
(41.79112, -74.0666)"
AMEC Materials LLC,8 Bates Lane,,North Castle,NY,10504,Westchester,3,2036423530,AMEC Materials LLC,Private,C&D processing - registration,[60W34],Yes,613965,4555411,,,,,,"8 Bates Lane
North Castle, NY 10504
(41.14146, -73.63967)"
Taxter Road Leaf TS,Taxter Road,,East Irvington,NY,10533,Westchester,3,9149931644,Town of Greenburgh,Municipal,Transfer station - registration,[60R26],Yes,596652,4544634,,Yard Trimmings,60R26,09/22/2004,,
Beacon Island,River Road,,Bethlehem,NY,12161,Albany,4,,Port of Albany,,Landfill reclamation - registration,[01L12211],Yes,689771,1374149,4 - GIS Assisted,Ash (Coal),01L12211,12/07/2022,10/27/2027,
Safety Kleen Systems Inc,17 Green Mountain Drive,,Cohoes,NY,12047,Albany,4,5187838080,,,Waste oil storage; reprocessing or rerefining facility,[01O04],Yes,604020,4739498,1 - No accuracy stated,,4-0126-00167/000016,10/22/2013,10/21/2018,"17 Green Mountain Drive
Cohoes, NY 12047
(42.80056, -73.72713)"
Costa's Used Cars Inc,790 Gahbauer Road,,Mellenville,NY,12544,Columbia,4,5186724070,Mario Costa,Private,Vehicle Dismantling Facility,[7001652],Yes,609811,4678743,,,,,,
Green Pines Septic,682 Starkville Road,,Fort Plain,NY,13339,Montgomery,4,5189935407,Patricia Przestrzelski,,Transfer facility - septage - registration,[29T23002],Yes,519890,4748594,1 - No accuracy stated,Septage,29T23002,02/14/2024,02/13/2029,"682 Starkville Road
Fort Plain, NY 13339
(42.88997, -74.75483)"
Grasshopper Pit LCD Lf,Route 22 (West Side),,Chesterfield,NY,12944,Clinton,5,5188344617,Ray Jay Properties LLC,Private,Landfill - land clearing debris,[16D05],Yes,618981,4930230,1 - No accuracy stated,Land Clearing Debris,16D05,11/20/1997,,
Upstone - Plattsburgh Quarry,111 Quarry Road,,Plattsburgh,NY,12901,Clinton,5,5185615321,Upstone Materials Inc,Private,C&D processing - registration,[10W07],Yes,620839,4952102,,,10W07,01/29/2008,,"111 Quarry Road
Plattsburgh, NY 12901
(44.70939, -73.47411)"
Minerva LCD Lf,County Route 37,,Minerva,NY,12851,Essex,5,5182512869,Town of Minerva,Municipal,Landfill - land clearing debris,[16D06],Yes,584831,4850223,,,16D06,07/23/1998,,
Road Side Sand Pit,Maloney Road,,Johnstown,NY,12095,Fulton,5,,Eric Pareene,,CDDHRF - uncontaminated soil sand gravel rock - registration,[18C60012],Yes,556656,4762710,,Sand;Soil (Clean);Rock;Gravel,18C60012,02/07/2024,02/06/2029,
Morin LCD Landfill,284 Oven Mountain Road,,North Creek,NY,12853,Warren,5,5182513595,Leon P Morin,Private,Landfill - land clearing debris,[57D14],Yes,582675,4831902,,Land Clearing Debris,57D14,04/02/2004,,
Pleasant Valley Compost,37 Pleasant Valley Rd,,Argyle,NY,12809,Washington,5,5186388074,Bruce White,Private,Composting - SSO - registration,[58P20015],Yes,620345,4785368,1 - No accuracy stated,Food Scraps,58P20015,07/03/2024,07/02/2029,"37 Pleasant Valley Rd
Argyle, NY 12809
(43.21179, -73.51233)"
Tripple Pit,Carder Lane Road,,Schuyler,NY,13340,Herkimer,6,3155252510,Ryan Aldrich Trucking & Sawing; Inc.,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[22C90017],Yes,0,0,,Brick;Concrete;Asphalt Pavement,22C90017,06/11/2025,06/10/2030,
Vespa Sand & Gravel LCD,Cemetary Road,,Felts Mills,NY,13638,Jefferson,6,3157886330,John Vespa Inc.,Private,Landfill - land clearing debris,[23D31],Yes,438897,4873319,4.1 - Address Matching,Land Clearing Debris,23D31,08/16/2008,,
Abe's Auto,777 Route 8,,Cassville,NY,13318,Oneida,6,3158223068,Kevin Cornacchia,Private,VDF - registration,[33V50013],Yes,480134,4749850,,End of Life Vehicles VDFs,33V50013,05/09/2025,05/08/2030,"777 Route 8
Cassville, NY 13318
(42.90188, -75.24285)"
Lee Center (T) Land Clearing,4771 Lee Center Taberg Rd/Hardy Road,,Lee Center,NY,13363,Oneida,6,3153363438,Town of Lee Center,Municipal,Landfill - land clearing debris,[33D22],Yes,453484,4794706,1 - No accuracy stated,,33D22,06/06/2013,,
